NORMAL,NOR,1,0,1,1
NORMAL,FIR,1,0,2,1
NORMAL,WAT,1,0,3,1
NORMAL,ELE,1,0,4,1
NORMAL,GRA,1,0,5,1
NORMAL,ICE,1,0,6,1
NORMAL,FIG,2,0,7,2
NORMAL,POI,1,0,8,1
NORMAL,GRO,1,0,9,1
NORMAL,FLY,1,0,10,1
NORMAL,PSY,1,0,11,1
NORMAL,BUG,1,0,12,1
NORMAL,ROC,1,0,13,1
NORMAL,GHO,0,0,14,0
NORMAL,DRA,1,0,15,1
NORMAL,DAR,1,0,16,1
NORMAL,STE,1,0,17,1
NORMAL,FAI,1,0,18,1
NORMALFIRE,NOR,1,1,1,1
NORMALFIRE,FIR,0.5,1,2,0.5
NORMALFIRE,WAT,2,1,3,2
NORMALFIRE,ELE,1,1,4,1
NORMALFIRE,GRA,0.5,1,5,0.5
NORMALFIRE,ICE,0.5,1,6,0.5
NORMALFIRE,FIG,2,1,7,2
NORMALFIRE,POI,1,1,8,1
NORMALFIRE,GRO,2,1,9,2
NORMALFIRE,FLY,1,1,10,1
NORMALFIRE,PSY,1,1,11,1
NORMALFIRE,BUG,0.5,1,12,0.5
NORMALFIRE,ROC,2,1,13,2
NORMALFIRE,GHO,0,1,14,0
NORMALFIRE,DRA,1,1,15,1
NORMALFIRE,DAR,1,1,16,1
NORMALFIRE,STE,0.5,1,17,0.5
NORMALFIRE,FAI,0.5,1,18,0.5
NORMALWATER,NOR,1,2,1,1
NORMALWATER,FIR,0.5,2,2,0.5
NORMALWATER,WAT,0.5,2,3,0.5
NORMALWATER,ELE,2,2,4,2
NORMALWATER,GRA,2,2,5,2
NORMALWATER,ICE,0.5,2,6,0.5
NORMALWATER,FIG,2,2,7,2
NORMALWATER,POI,1,2,8,1
NORMALWATER,GRO,1,2,9,1
NORMALWATER,FLY,1,2,10,1
NORMALWATER,PSY,1,2,11,1
NORMALWATER,BUG,1,2,12,1
NORMALWATER,ROC,1,2,13,1
NORMALWATER,GHO,0,2,14,0
NORMALWATER,DRA,1,2,15,1
NORMALWATER,DAR,1,2,16,1
NORMALWATER,STE,0.5,2,17,0.5
